CODIGO;CODIGO EQUIVALENTE;LOCALIZAÇÃO;QUANTIDADE;;FORNECEDOR;FAMILIA;OBSER;;;ENTRADA;SAIDA;
CODIGO;CODIGO EQUIVALENTE;LOCALIZAÇAO;QUANTIDADE;QTD;FORNECEDOR;FAMILIA;OBSER;Coluna9;DESCRICAO;ENTRADA;SAIDA;O
1492SPM1C060;1492SPM1C060;F 40;9;0;ALLEN BRADLEY;;2 F/CX;#N/D;;9;0;
1492SPM1C100;1492SPM1C100;F 40;0;0;ALLEN BRADLEY;;;#N/D;;4;4;
1492SPM2B060;1492SPM2B060;F 40;0;0;ALLEN BRADLEY;;F\CX;#N/D;;2;2;
1492SPM2B100;1492SPM2B100;F 40;6;0;ALLEN BRADLEY;;;#N/D;;6;0;
1492SPM2C040;1492SPM2C040;F 40;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
1492SPM2C250;1492SPM2C250;F 40;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1492SPM2C500;1492SPM2C500;F 40;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
1492SPM2D300;1492SPM2D300;F 40;8;0;ALLEN BRADLEY;;;#N/D;;8;0;
1492SPM3C060;1492SPM3C060;F 40;2;0;ALLEN BRADLEY;;;#N/D;;2;0;
1492SPM3C100;1492SPM3C100;F 40;2;0;ALLEN BRADLEY;;;#N/D;;2;0;
1492W10;1492W10;F 21;177;0;ALLEN BRADLEY;;;#N/D;;177;0;
1492W16;1492W16;F 20;20;0;ALLEN BRADLEY;;F\CX;#N/D;;20;0;
1492W4;1492W4;F 21;7;0;ALLEN BRADLEY;;CZA;#N/D;;7;0;
1492W4B;1492W4B;F 21;145;0;ALLEN BRADLEY;;AZ;#N/D;;145;0;
1492WD4;1492WD4;F 20;19;0;ALLEN BRADLEY;;;#N/D;;19;0;
1492WFB4;1492WFB4;F 21;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
1492WFB424;1492WFB424;F 21;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
1492XIM2416RF;1492XIM2416RF;F 39;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1494VRA3;1494VRA3;F 39;4;0;ALLEN BRADLEY;;;#N/D;;4;0;
1500S;PV000019301;N/A;0;0;GROWATT;;;#N/D;;0;0;
150C30NBD;150C30NBD;F 37;2;0;ALLEN BRADLEY;;;#N/D;;2;0;
150C60NBD;150C60NBD;F;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
150C9NBR;150C9NBR;F;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
150CF147;150CF147;F;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
150D32NBD;150D32NBD;F;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
150D64NBD;150D64NBD;F;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1585J-M4TBJM1;1585J-M4TBJM1;F;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
1585J-M4TBJM3;1585J-M4TBJM3;F;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
1585J-M8CBJM0M3;1585J-M8CBJM0M3;F;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
